"都道府県コード","都道府県・市区町村コード","都道府県名","都道府県・市区町村名","（人）","（km2）","（人/km2）"
"01","01646","北海道","本別町",7358,391.91,18.8
"01","01647","北海道","足寄町",6990,1408.04,5
"01","01648","北海道","陸別町",2482,608.9,4.1
"01","01649","北海道","浦幌町",4919,729.85,6.7
"01","01661","北海道","釧路町",19833,252.66,78.5
"01","01662","北海道","厚岸町",9778,739.26,13.2
"01","01663","北海道","浜中町",6061,423.63,14.3
"01","01664","北海道","標茶町",7742,1099.37,7
"01","01665","北海道","弟子屈町",7758,774.33,10
"01","01667","北海道","鶴居村",2534,571.8,4.4
"01","01668","北海道","白糠町",8068,773.53,10.4
"01","01691","北海道","別海町",15273,1319.63,11.6
"01","01692","北海道","中標津町",23774,684.87,34.7
"01","01693","北海道","標津町",5242,624.68,8.4
"01","01694","北海道","羅臼町",5415,397.72,13.6
"02","02000","青森県","青森県",1308265,9645.59,135.6
"02","02201","青森県","青森市",287648,824.61,348.8
"02","02202","青森県","弘前市",177411,524.2,338.4
"02","02203","青森県","八戸市",231257,305.54,756.9
"02","02204","青森県","黒石市",34284,217.05,158
"02","02205","青森県","五所川原市",55181,404.18,136.5
"02","02206","青森県","十和田市",63429,725.65,87.4
"02","02207","青森県","三沢市",40196,119.87,335.3
"02","02208","青森県","むつ市",58493,864.16,67.7
"02","02209","青森県","つがる市",33316,253.55,131.4
"02","02210","青森県","平川市",32106,346.01,92.8
"02","02301","青森県","平内町",11142,217.09,51.3
"02","02303","青森県","今別町",2756,125.27,22
"02","02304","青森県","蓬田村",2896,80.84,35.8
"02","02307","青森県","外ヶ浜町",6198,230.29,26.9
"02","02321","青森県","鰺ヶ沢町",10126,343.08,29.5
"02","02323","青森県","深浦町",8429,488.89,17.2
"02","02343","青森県","西目屋村",1415,246.02,5.8
"02","02361","青森県","藤崎町",15179,37.29,407.1
"02","02362","青森県","大鰐町",9676,163.43,59.2
"02","02367","青森県","田舎館村",7783,22.35,348.2
"02","02381","青森県","板柳町",13935,41.88,332.7
"02","02384","青森県","鶴田町",13392,46.43,288.4
"02","02387","青森県","中泊町",11187,216.32,51.7
"02","02401","青森県","野辺地町",13524,81.68,165.6
"02","02402","青森県","七戸町",15709,337.23,46.6
"02","02405","青森県","六戸町",10423,83.89,124.2
"02","02406","青森県","横浜町",4535,126.38,35.9
"02","02408","青森県","東北町",17955,326.5,55
"02","02411","青森県","六ヶ所村",10536,252.68,41.7
"02","02412","青森県","おいらせ町",24222,71.96,336.6
"02","02423","青森県","大間町",5227,52.1,100.3
"02","02424","青森県","東通村",6607,295.27,22.4
"02","02425","青森県","風間浦村",1976,69.55,28.4
"02","02426","青森県","佐井村",2148,135.04,15.9
"02","02441","青森県","三戸町",10135,151.79,66.8
"02","02442","青森県","五戸町",17433,177.67,98.1
"02","02443","青森県","田子町",5554,241.98,23
"02","02445","青森県","南部町",18312,153.12,119.6
"02","02446","青森県","階上町",14025,94.01,149.2
